,country,director,major character,title,type,year
0,美国,弗兰克·德拉邦特,蒂姆·罗宾斯 Tim Robbins /..,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),犯罪 剧情,1994
1,中国大陆 中国香港,陈凯歌,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha..,"霸王别姬 / 再见,我的妾  /  Farewell My Concubine",剧情 爱情 同性,1993
2,美国,罗伯特·泽米吉斯,汤姆·汉克斯 Tom Hanks / ..,阿甘正传 / Forrest Gump / 福雷斯特·冈普,剧情 爱情,1994
3,法国 美国,吕克·贝松,让·雷诺 Jean Reno / 娜塔莉·波特曼 ..,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),剧情 动作 犯罪,1994
4,美国,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 Leonardo..,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),剧情 爱情 灾难,1997
5,意大利,罗伯托·贝尼尼,罗伯托·贝尼尼 Roberto Beni..,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,剧情 喜剧 爱情 战争,1997
6,日本,宫崎骏,柊瑠美 Rumi Hîragi / 入野自由 Miy..,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,剧情 动画 奇幻,2001
7,美国,史蒂文·斯皮尔伯格,连姆·尼森 Liam Neeson..,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,剧情 历史 战争,1993
8,美国 英国,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 Le..,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),剧情 科幻 悬疑 冒险,2010
9,美国 英国,莱塞·霍尔斯道姆,理查·基尔 Richard Ger..,忠犬八公的故事 / Hachi: A Dog's Tale / 秋田犬八千(港)  /  忠犬小八(台),剧情,2009
10,意大利,朱塞佩·托纳多雷,蒂姆·罗斯 Tim Roth / ..,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,剧情 音乐,1998
11,美国,彼得·威尔,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,剧情 科幻,1998
12,美国 英国 加拿大 冰岛,克里斯托弗·诺兰,马修·麦康纳 Matthew Mc..,星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),剧情 科幻 冒险,2014
13,印度,拉库马·希拉尼,阿米尔·汗 Aamir Khan / 卡..,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),剧情 喜剧 爱情 歌舞,2009
14,美国,安德鲁·斯坦顿,本·贝尔特 Ben Burtt / 艾丽..,机器人总动员 / WALL·E / 太空奇兵·威E(港)  /  瓦力(台),科幻 动画 冒险,2008
15,法国 瑞士 德国,克里斯托夫·巴拉蒂,热拉尔·朱尼奥 Gé..,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,剧情 音乐,2004
16,中国香港 中国大陆,刘镇伟,周星驰 Stephen Chow / 吴孟达 Man Tat Ng..,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,喜剧 爱情 奇幻 古装,1995
17,韩国,黄东赫,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /..,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,剧情,2011
18,美国,拜伦·霍华德,金妮弗·..,疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),喜剧 动画 冒险,2016
19,中国香港,刘伟强,,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,剧情 犯罪 悬疑,2002
20,日本,宫崎骏,日高法子 Noriko Hidaka / 坂本千夏 Ch..,龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,动画 奇幻 冒险,1988
21,美国,弗朗西斯·福特·科波拉,马龙·白兰度 M..,教父 / The Godfather / Mario Puzo's The Godfather,剧情 犯罪,1972
22,美国,加布里尔·穆奇诺,威尔·史密斯 Will Smith ..,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,剧情 传记 家庭,2006
23,美国,罗伯·莱纳,玛德琳·卡罗尔 Madeline Carroll / 卡..,怦然心动 / Flipped / 萌动青春  /  青春萌动,剧情 喜剧 爱情,2010
24,法国,奥利维·那卡什,,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),剧情 喜剧,2011
25,美国,比利·怀尔德,泰隆·鲍华 Tyrone Power / 玛琳·..,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,剧情 犯罪 悬疑,1957
26,美国 英国,克里斯托弗·诺兰,克里斯蒂安·贝尔 Christ..,蝙蝠侠:黑暗骑士 / The Dark Knight / 蝙蝠侠前传2:黑暗骑士  /  黑暗骑士(台),剧情 动作 科幻 犯罪 惊悚,2008
27,中国大陆 中国香港,张艺谋,,活着 / 人生  /  Lifetimes,剧情 历史 家庭,1994
28,美国,李·昂克里奇,..,寻梦环游记 / Coco / 玩转极乐园(港)  /  可可夜总会(台),喜剧 动画 奇幻 音乐,2017
29,英国 意大利 中国大陆 法国,贝纳尔多·贝托鲁奇,尊龙 John Lone / 陈..,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),剧情 传记 历史,1987
30,美国,维克多·弗莱明,费..,乱世佳人 / Gone with the Wind / 飘,剧情 历史 爱情 战争,1939
31,黎巴嫩 法国 美国,娜丁·拉巴基,扎因·拉费阿 Zain al-Rafeea / ..,何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),剧情,2018
32,美国 新西兰,彼得·杰克逊,伊利亚·伍德 Elijah Wood / 西恩..,指环王3:王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲:王者再临(台 / 港),剧情 动作 奇幻 冒险,2003
33,印度,涅提·蒂瓦里,阿米尔·汗 Aamir Khan / 法缇玛..,摔跤吧!爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港),剧情 传记 运动 家庭,2016
34,美国,彼特·道格特,爱德..,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),剧情 喜剧 动画 冒险,2009
35,美国 中国台湾 英国 加拿大,李安,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan..,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,剧情 奇幻 冒险,2012
36,美国,Sidney,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,剧情,1957
37,韩国,李濬益,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ..,素媛 / 소원 / 许愿  /  希望:为爱重生(台),剧情,2013
38,中国大陆,姜文,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..,鬼子来了 / Devils on the Doorstep,剧情 喜剧,2000
39,日本,宫崎骏,倍赏千惠子 Chieko Baishô / 木村拓..,哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),动画 奇幻 冒险,2004
40,美国 英国,Chris,,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1:神秘的魔法石(港 / 台),奇幻 冒险,2001
41,日本,宫崎骏,田中真弓 Mayumi Tanaka / 横泽启子 Ke..,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,动画 奇幻 冒险,1986
42,中国香港 中国大陆,刘镇伟,周星驰 Stephen Chow / 吴孟达 Man Tat Ng..,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,喜剧 爱情 奇幻 古装,1995
